AWP | BOOM (Minimal Wear)
P250 | Muertos (Field-Tested)
Tec-9 | Jambiya (Well-Worn)
AK-47 | Elite Build (Field-Tested)
MP7 | Impire (Minimal Wear)

Tec-9 | Sandstorm (Field-Tested)
StatTrak™ AWP | Worm God (Field-Tested)
AK-47 | Elite Build (Field-Tested)
G3SG1 | Flux (Field-Tested)
P250 | Boreal Forest (Factory New)
StatTrak™ Tec-9 | Isaac (Battle-Scarred)
M4A1-S | Boreal Forest (Field-Tested)
Five-SeveN | Violent Daimyo (Field-Tested)
M4A4 | Desert Storm (Field-Tested)
Tec-9 | Red Quartz (Factory New)
★ StatTrak™ M9 Bayonet | Black Laminate (Minimal Wear)
M4A1-S | Boreal Forest (Field-Tested)
Glock-18 | Water Elemental (Field-Tested)
StatTrak™ MAC-10 | Lapis Gator (Field-Tested)
AWP | Hyper Beast (Field-Tested)
AWP | Sun in Leo (Field-Tested)
StatTrak™ Five-SeveN | Violent Daimyo (Field-Tested)
M4A1-S | Hyper Beast (Battle-Scarred)
AK-47 | Emerald Pinstripe (Field-Tested)
M4A1-S | Cyrex (Field-Tested)
M4A1-S | Cyrex (Field-Tested)
P90 | Module (Field-Tested)
★ StatTrak™ M9 Bayonet | Gamma Doppler (Factory New)
MP9 | Bioleak (Factory New)
StatTrak™ Five-SeveN | Monkey Business (Battle-Scarred)
AWP | Pit Viper (Field-Tested)
M4A1-S | Dark Water (Minimal Wear)
AK-47 | Frontside Misty (Field-Tested)
P2000 | Oceanic (Factory New)
AWP | Safari Mesh (Field-Tested)
P2000 | Fire Elemental (Factory New)
M4A1-S | Basilisk (Field-Tested)

Dual Berettas | Contractor (Minimal Wear)
AWP | Pink DDPAT (Field-Tested)
Glock-18 | Night (Minimal Wear)
M4A1-S | Guardian (Factory New)
AWP | Phobos (Minimal Wear)
AWP | Pit Viper (Field-Tested)
StatTrak™ Desert Eagle | Corinthian (Well-Worn)
MAG-7 | Cobalt Core (Factory New)
AWP | Sun in Leo (Factory New)
P2000 | Imperial Dragon (Factory New)
AWP | Elite Build (Field-Tested)
USP-S | Royal Blue (Field-Tested)
Glock-18 | Water Elemental (Field-Tested)
USP-S | Torque (Field-Tested)
AK-47 | Fuel Injector (Field-Tested)
M4A1-S | Nitro (Minimal Wear)
P90 | Asiimov (Battle-Scarred)
AWP | Pit Viper (Field-Tested)
P2000 | Fire Elemental (Field-Tested)
M4A1-S | VariCamo (Field-Tested)
AWP | Electric Hive (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
AWP | Safari Mesh (Field-Tested)
AWP | Safari Mesh (Field-Tested)
Tec-9 | Avalanche (Minimal Wear)
USP-S | Lead Conduit (Factory New)
Desert Eagle | Conspiracy (Factory New)
AK-47 | Redline (Battle-Scarred)
Glock-18 | Blue Fissure (Minimal Wear)
AWP | Safari Mesh (Minimal Wear)
Nova | Ranger (Battle-Scarred)
USP-S | Guardian (Minimal Wear)
USP-S | Road Rash (Field-Tested)
Desert Eagle | Conspiracy (Minimal Wear)
Desert Eagle | Conspiracy (Factory New)
AWP | Phobos (Factory New)
Glock-18 | Water Elemental (Factory New)
AWP | Pit Viper (Field-Tested)
P250 | Valence (Field-Tested)
Dual Berettas | Cobalt Quartz (Factory New)
AK-47 | Frontside Misty (Field-Tested)
★ M9 Bayonet | Freehand (Well-Worn)
P90 | Elite Build (Minimal Wear)
Glock-18 | Bunsen Burner (Factory New)
XM1014 | Black Tie (Minimal Wear)
AWP | Pit Viper (Field-Tested)
M4A4 | 龍王 (Dragon King) (Field-Tested)
SSG 08 | Ghost Crusader (Field-Tested)
P90 | Chopper (Factory New)
AK-47 | Safari Mesh (Field-Tested)
XM1014 | Tranquility (Factory New)
P90 | Asiimov (Field-Tested)
Souvenir Nova | Predator (Field-Tested)

AK-47 | Elite Build (Well-Worn)
Desert Eagle | Naga (Minimal Wear)
StatTrak™ AK-47 | Redline (Field-Tested)
★ Karambit | Stained (Factory New)
AWP | Elite Build (Battle-Scarred)
USP-S | Orion (Factory New)
P250 | Valence (Field-Tested)
AK-47 | Emerald Pinstripe (Field-Tested)
SCAR-20 | Cardiac (Field-Tested)
Desert Eagle | Conspiracy (Factory New)
AWP | Pit Viper (Battle-Scarred)
P90 | Chopper (Battle-Scarred)
Desert Eagle | Meteorite (Minimal Wear)
M4A1-S | VariCamo (Minimal Wear)
M4A1-S | Mecha Industries (Field-Tested)
USP-S | Royal Blue (Field-Tested)
USP-S | Royal Blue (Field-Tested)
AK-47 | Redline (Field-Tested)
AK-47 | Elite Build (Battle-Scarred)
Desert Eagle | Crimson Web (Minimal Wear)
Glock-18 | Candy Apple (Minimal Wear)
Glock-18 | Candy Apple (Minimal Wear)
P2000 | Oceanic (Field-Tested)

AWP | Pit Viper (Field-Tested)
AUG | Torque (Minimal Wear)
AWP | Redline (Minimal Wear)
StatTrak™ AWP | Phobos (Field-Tested)
AWP | Elite Build (Field-Tested)
Desert Eagle | Bronze Deco (Factory New)
Desert Eagle | Naga (Minimal Wear)
AK-47 | Elite Build (Well-Worn)
P2000 | Ivory (Minimal Wear)
Sticker | Gambit Gaming (Holo) | Cologne 2016
Sticker | ESL (Holo) | Cologne 2016
Sticker | Spiidi | Cologne 2016
Sticker | friberg | Cologne 2016
Sticker | GuardiaN | Cologne 2016
Sticker | RpK | Cologne 2016
Sticker | device | Cologne 2016
Наклейка | fnx | Cologne 2016
Sticker | Astralis (Holo) | Cologne 2016
Sticker | Xyp9x | Cologne 2016
Sticker | karrigan | Cologne 2016
Sticker | B1ad3 | Cologne 2016
Sticker | WorldEdit | Cologne 2016
Sticker | markeloff | Cologne 2016
Sticker | Team Liquid | Cologne 2016
Sticker | mousesports | Cologne 2016
Sticker | FaZe Clan | Cologne 2016
Sticker | dennis | Cologne 2016
Sticker | KRIMZ | Cologne 2016
Sticker | olofmeister | Cologne 2016
Sticker | TaZ | Cologne 2016
Sticker | pashaBiceps | Cologne 2016
Sticker | Zeus | Cologne 2016
Sticker | Edward | Cologne 2016
Sticker | Flipsid3 Tactics | Cologne 2016
Sticker | ESL | Cologne 2016
Sticker | SK Gaming | Cologne 2016
Наклейка | Gambit Gaming | Cologne 2016
Sticker | jdm64 | Cologne 2016
Sticker | TACO | Cologne 2016
Sticker | Team EnVyUs | Cologne 2016
Sticker | ScreaM | Cologne 2016
Sticker | daps (Foil) | Cologne 2016
Sticker | s1mple | Cologne 2016
Sticker | Virtus.Pro (Holo) | Cologne 2016
Наклейка | Fnatic | Cologne 2016
Sticker | Virtus.Pro | Cologne 2016
Sticker | Fnatic (Holo) | Cologne 2016
Sticker | flusha | Cologne 2016
Sticker | JW | Cologne 2016
Sticker | NBK- | Cologne 2016
Sticker | Hiko | Cologne 2016
Sticker | SmithZz | Cologne 2016
Sticker | SK Gaming (Holo) | Cologne 2016
Sticker | Team Dignitas | Cologne 2016
Sticker | EliGE | Cologne 2016
Sticker | mousesports (Holo) | Cologne 2016
Sticker | OpTic Gaming | Cologne 2016
Наклейка | fer | Cologne 2016
Sticker | G2 Esports | Cologne 2016
Sticker | denis | Cologne 2016
Sticker | aizy | Cologne 2016
Наклейка | FalleN | Cologne 2016
Sticker | Team Dignitas (Foil) | Cologne 2016
Sticker | cajunb (Foil) | Cologne 2016
Sticker | Happy | Cologne 2016
M4A4 | Desert-Strike (Battle-Scarred)
Sticker | shox | Cologne 2016
Sticker | Snax | Cologne 2016
Sticker | kennyS | Cologne 2016
Sticker | Team Dignitas (Holo) | Cologne 2016
AWP | Worm God (Factory New)
Sticker | RUSH | Cologne 2016
Sticker | flamie | Cologne 2016
Sticker | Counter Logic Gaming | Cologne 2016
Sticker | Ninjas in Pyjamas | Cologne 2016
Sticker | Team EnVyUs (Holo) | Cologne 2016
Sticker | Happy (Foil) | Cologne 2016
Sticker | Hiko (Foil) | Cologne 2016
Sticker | s1mple (Foil) | Cologne 2016
Sticker | coldzera (Foil) | Cologne 2016
Sticker | RpK (Foil) | Cologne 2016
Sticker | hooch (Foil) | Cologne 2016
Sticker | NiKo (Foil) | Cologne 2016
Sticker | Team Liquid (Holo) | Cologne 2016
Sticker | G2 Esports (Holo) | Cologne 2016
Sticker | OpTic Gaming (Holo) | Cologne 2016
Sticker | FaZe Clan (Foil) | Cologne 2016
Sticker | Counter Logic Gaming (Holo) | Cologne 2016
Sticker | Natus Vincere (Holo) | Cologne 2016
Sticker | Fnatic (Foil) | Cologne 2016
Sticker | Flipsid3 Tactics (Holo) | Cologne 2016
Sticker | SK Gaming (Foil) | Cologne 2016
Наклейка | Ninjas in Pyjamas (Holo) | Cologne 2016
Sticker | Virtus.Pro (Foil) | Cologne 2016
Sticker | RUSH (Foil) | Cologne 2016
Sticker | AdreN (Foil) | Cologne 2016
Sticker | Natus Vincere (Foil) | Cologne 2016
Sticker | NBK- (Foil) | Cologne 2016
Sticker | ScreaM (Foil) | Cologne 2016
Sticker | stanislaw (Foil) | Cologne 2016
Sticker | Counter Logic Gaming (Foil) | Cologne 2016
Sticker | Natus Vincere | Cologne 2016
Sticker | NAF | Cologne 2016
Sticker | daps | Cologne 2016
Sticker | nitr0 | Cologne 2016
Sticker | apEX | Cologne 2016
Sticker | gla1ve | Cologne 2016
Sticker | G2 Esports (Foil) | Cologne 2016
Sticker | hooch | Cologne 2016
Sticker | Gambit Gaming (Foil) | Cologne 2016
Sticker | Ninjas in Pyjamas (Foil) | Cologne 2016
Sticker | kioShiMa (Foil) | Cologne 2016
Sticker | pyth | Cologne 2016
Sticker | seized | Cologne 2016
Sticker | FalleN (Foil) | Cologne 2016
Sticker | rain | Cologne 2016
Sticker | olofmeister (Foil) | Cologne 2016
Sticker | jdm64 (Foil) | Cologne 2016
Sticker | JW (Foil) | Cologne 2016
Sticker | GuardiaN (Foil) | Cologne 2016
Sticker | dennis (Foil) | Cologne 2016
Sticker | reltuC | Cologne 2016
Sticker | MSL | Cologne 2016
Sticker | ESL (Foil) | Cologne 2016
Sticker | NiKo | Cologne 2016
Sticker | GeT_RiGhT | Cologne 2016
Sticker | fnx (Foil) | Cologne 2016
Sticker | dupreeh (Foil) | Cologne 2016
Sticker | Zeus (Foil) | Cologne 2016
Sticker | Edward (Foil) | Cologne 2016
AWP | Phobos (Minimal Wear)
Sticker | k0nfig (Foil) | Cologne 2016
Sticker | aizy (Foil) | Cologne 2016
AWP | Pit Viper (Minimal Wear)
Sticker | Team Liquid (Foil) | Cologne 2016
Sticker | Dosia | Cologne 2016
Sticker | RUBINO | Cologne 2016
Sticker | TACO (Foil) | Cologne 2016
Sticker | tarik (Foil) | Cologne 2016
Sticker | gla1ve (Foil) | Cologne 2016
Sticker | kioShiMa | Cologne 2016
Sticker | device (Foil) | Cologne 2016
Sticker | NEO | Cologne 2016
Sticker | pashaBiceps (Foil) | Cologne 2016
P2000 | Oceanic (Minimal Wear)
Sticker | byali | Cologne 2016
Sticker | f0rest (Foil) | Cologne 2016
Sticker | chrisJ (Foil) | Cologne 2016
Sticker | SmithZz (Foil) | Cologne 2016
Sticker | nitr0 (Foil) | Cologne 2016
M4A1-S | Bright Water (Minimal Wear)
Sticker | Team EnVyUs (Foil) | Cologne 2016
AWP | Worm God (Field-Tested)
Sticker | mousesports (Foil) | Cologne 2016
Sticker | OpTic Gaming (Foil) | Cologne 2016
Sticker | hazed (Foil) | Cologne 2016
Sticker | flamie (Foil) | Cologne 2016
Sticker | fox (Foil) | Cologne 2016
Sticker | cajunb | Cologne 2016
Sticker | Xizt (Foil) | Cologne 2016
Sticker | reltuC (Foil) | Cologne 2016
Sticker | GeT_RiGhT (Foil) | Cologne 2016
Sticker | karrigan (Foil) | Cologne 2016
CZ75-Auto | Crimson Web (Field-Tested)
StatTrak™ CZ75-Auto | Red Astor (Field-Tested)
Sticker | TaZ (Foil) | Cologne 2016
AWP | Safari Mesh (Field-Tested)
USP-S | Guardian (Field-Tested)
Sticker | rain (Foil) | Cologne 2016
AK-47 | Elite Build (Well-Worn)
Sticker | Dosia (Foil) | Cologne 2016
Sticker | markeloff (Foil) | Cologne 2016

USP-S | Stainless (Field-Tested)
StatTrak™ M4A1-S | Basilisk (Minimal Wear)
Sticker | shox (Foil) | Cologne 2016
Sticker | Shara | Cologne 2016
Sticker | mou (Foil) | Cologne 2016
AWP | Safari Mesh (Field-Tested)
AWP | Safari Mesh (Field-Tested)
Tec-9 | Avalanche (Field-Tested)
Glock-18 | Candy Apple (Minimal Wear)
Glock-18 | Night (Field-Tested)
AWP | Pit Viper (Minimal Wear)
AK-47 | Emerald Pinstripe (Factory New)
AK-47 | Emerald Pinstripe (Factory New)
AWP | Pit Viper (Field-Tested)
AWP | BOOM (Minimal Wear)
Desert Eagle | Crimson Web (Minimal Wear)
Sticker | MSL (Foil) | Cologne 2016
USP-S | Blood Tiger (Factory New)
AK-47 | Blue Laminate (Factory New)
StatTrak™ Five-SeveN | Urban Hazard (Factory New)
StatTrak™ USP-S | Guardian (Field-Tested)
Tec-9 | Avalanche (Field-Tested)
AK-47 | Redline (Field-Tested)
StatTrak™ USP-S | Lead Conduit (Well-Worn)

AWP | Phobos (Field-Tested)
StatTrak™ P2000 | Imperial (Factory New)
AWP | Phobos (Field-Tested)
AK-47 | Elite Build (Minimal Wear)
AK-47 | Frontside Misty (Field-Tested)
StatTrak™ M4A1-S | Basilisk (Field-Tested)
M4A1-S | Cyrex (Field-Tested)
M4A1-S | Blood Tiger (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
Glock-18 | Night (Factory New)
P250 | Mehndi (Minimal Wear)
StatTrak™ MP7 | Armor Core (Factory New)
StatTrak™ MP7 | Armor Core (Factory New)
USP-S | Blood Tiger (Field-Tested)
P250 | Wingshot (Well-Worn)
StatTrak™ AK-47 | Vulcan (Factory New)
AWP | Pit Viper (Field-Tested)
Glock-18 | Wraiths (Minimal Wear)
AWP | Phobos (Minimal Wear)
AWP | Phobos (Minimal Wear)
StatTrak™ XM1014 | Scumbria (Minimal Wear)
Galil AR | Rocket Pop (Battle-Scarred)
AWP | Phobos (Field-Tested)
SSG 08 | Big Iron (Field-Tested)
AWP | Asiimov (Battle-Scarred)
USP-S | Royal Blue (Field-Tested)
USP-S | Royal Blue (Field-Tested)
AWP | Safari Mesh (Field-Tested)
AWP | Safari Mesh (Field-Tested)
Five-SeveN | Triumvirate (Factory New)
StatTrak™ P250 | Valence (Minimal Wear)
M4A4 | Desert-Strike (Field-Tested)
SCAR-20 | Outbreak (Field-Tested)
StatTrak™ P90 | Elite Build (Battle-Scarred)
P250 | Muertos (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
USP-S | Torque (Field-Tested)
Tec-9 | Re-Entry (Minimal Wear)
R8 Revolver | Reboot (Minimal Wear)
M4A4 | Urban DDPAT (Field-Tested)
StatTrak™ AWP | Elite Build (Minimal Wear)
Glock-18 | Water Elemental (Field-Tested)
AK-47 | Elite Build (Factory New)
MP7 | Armor Core (Field-Tested)
AWP | Phobos (Field-Tested)
AK-47 | Fuel Injector (Well-Worn)
P250 | Splash (Field-Tested)
StatTrak™ PP-Bizon | Osiris (Minimal Wear)
P90 | Leather (Factory New)
USP-S | Guardian (Field-Tested)
AK-47 | Elite Build (Well-Worn)
StatTrak™ Glock-18 | Catacombs (Minimal Wear)
M4A1-S | Nitro (Minimal Wear)
StatTrak™ Dual Berettas | Black Limba (Field-Tested)
StatTrak™ Dual Berettas | Black Limba (Field-Tested)
StatTrak™ Desert Eagle | Naga (Well-Worn)
PP-Bizon | Fuel Rod (Field-Tested)
StatTrak™ Negev | Power Loader (Minimal Wear)
PP-Bizon | Fuel Rod (Field-Tested)
M4A1-S | Basilisk (Minimal Wear)
AK-47 | Elite Build (Battle-Scarred)
M4A1-S | Nitro (Battle-Scarred)
StatTrak™ Glock-18 | Wraiths (Field-Tested)
StatTrak™ M4A4 | Desert-Strike (Factory New)
AWP | Graphite (Factory New)
AWP | Phobos (Factory New)
AWP | Phobos (Factory New)

AWP | Safari Mesh (Field-Tested)
M4A1-S | Nitro (Minimal Wear)
Glock-18 | Water Elemental (Battle-Scarred)
★ StatTrak™ Bowie Knife | Fade (Factory New)
M4A1-S | Basilisk (Minimal Wear)
Souvenir P90 | Storm (Battle-Scarred)
AK-47 | Elite Build (Field-Tested)
MP9 | Deadly Poison (Minimal Wear)
P250 | Sand Dune (Field-Tested)
StatTrak™ CZ75-Auto | Crimson Web (Field-Tested)
Glock-18 | Water Elemental (Minimal Wear)
M4A1-S | Mecha Industries (Field-Tested)
USP-S | Lead Conduit (Battle-Scarred)
AWP | Phobos (Field-Tested)
M4A4 | Evil Daimyo (Minimal Wear)
USP-S | Stainless (Field-Tested)
StatTrak™ P2000 | Oceanic (Battle-Scarred)
Glock-18 | Candy Apple (Factory New)
Glock-18 | Candy Apple (Factory New)
AWP | Phobos (Field-Tested)
StatTrak™ P250 | Wingshot (Field-Tested)
Five-SeveN | Urban Hazard (Minimal Wear)
SCAR-20 | Contractor (Field-Tested)
Galil AR | Eco (Field-Tested)
Galil AR | Eco (Field-Tested)
M4A1-S | Boreal Forest (Well-Worn)

AK-47 | Cartel (Field-Tested)
★ Gut Knife | Freehand (Battle-Scarred)
StatTrak™ MP9 | Deadly Poison (Well-Worn)
P90 | Chopper (Field-Tested)
AK-47 | Redline (Field-Tested)
Desert Eagle | Bronze Deco (Minimal Wear)
Glock-18 | Water Elemental (Field-Tested)

Five-SeveN | Violent Daimyo (Field-Tested)
AWP | Worm God (Minimal Wear)
StatTrak™ USP-S | Torque (Field-Tested)
AWP | Elite Build (Well-Worn)
M4A1-S | Boreal Forest (Field-Tested)
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested)
M4A4 | Desert-Strike (Field-Tested)
P90 | Chopper (Field-Tested)
AK-47 | Black Laminate (Minimal Wear)
StatTrak™ SG 553 | Pulse (Field-Tested)
AWP | Pit Viper (Field-Tested)
P2000 | Oceanic (Factory New)
USP-S | Royal Blue (Field-Tested)
AK-47 | Redline (Field-Tested)
AWP | Pit Viper (Minimal Wear)
AWP | Phobos (Field-Tested)
M4A1-S | Cyrex (Minimal Wear)
M4A1-S | Cyrex (Minimal Wear)
Desert Eagle | Bronze Deco (Minimal Wear)
★ StatTrak™ Karambit | Freehand (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
AK-47 | Redline (Field-Tested)
StatTrak™ Glock-18 | Bunsen Burner (Minimal Wear)
Glock-18 | Candy Apple (Factory New)
Glock-18 | Candy Apple (Factory New)
P250 | Supernova (Minimal Wear)
AWP | Worm God (Factory New)
AK-47 | Jungle Spray (Field-Tested)
AK-47 | Blue Laminate (Field-Tested)
M4A1-S | Basilisk (Minimal Wear)
USP-S | Royal Blue (Field-Tested)
AWP | Phobos (Field-Tested)
UMP-45 | Labyrinth (Minimal Wear)
AWP | Phobos (Minimal Wear)
AK-47 | Emerald Pinstripe (Minimal Wear)
StatTrak™ USP-S | Lead Conduit (Minimal Wear)
AWP | Pit Viper (Field-Tested)
★ StatTrak™ Karambit | Autotronic (Minimal Wear)
AK-47 | Elite Build (Minimal Wear)
USP-S | Guardian (Field-Tested)
M4A4 | Desert-Strike (Minimal Wear)
M4A1-S | Basilisk (Field-Tested)
AK-47 | Safari Mesh (Field-Tested)
UMP-45 | Grand Prix (Field-Tested)
AWP | Safari Mesh (Field-Tested)
AK-47 | Elite Build (Field-Tested)
M4A1-S | VariCamo (Factory New)
Five-SeveN | Monkey Business (Field-Tested)
Glock-18 | Catacombs (Field-Tested)
AWP | Pit Viper (Field-Tested)
Five-SeveN | Monkey Business (Field-Tested)
AK-47 | Redline (Minimal Wear)
SSG 08 | Ghost Crusader (Minimal Wear)
StatTrak™ USP-S | Blood Tiger (Field-Tested)
AK-47 | Elite Build (Well-Worn)
SSG 08 | Acid Fade (Factory New)
Tec-9 | Ice Cap (Field-Tested)
USP-S | Caiman (Minimal Wear)
AK-47 | Aquamarine Revenge (Minimal Wear)
USP-S | Royal Blue (Minimal Wear)
AWP | Corticera (Minimal Wear)
P250 | Contamination (Minimal Wear)
M4A1-S | Chantico's Fire (Field-Tested)
M4A1-S | Atomic Alloy (Minimal Wear)
StatTrak™ Glock-18 | Bunsen Burner (Battle-Scarred)
M4A1-S | Cyrex (Field-Tested)
AWP | Phobos (Minimal Wear)
AK-47 | Frontside Misty (Field-Tested)
Desert Eagle | Crimson Web (Field-Tested)
Tec-9 | Avalanche (Minimal Wear)
AK-47 | Redline (Field-Tested)
Five-SeveN | Violent Daimyo (Field-Tested)
AWP | Pit Viper (Field-Tested)
USP-S | Royal Blue (Field-Tested)
AK-47 | Elite Build (Well-Worn)
USP-S | Lead Conduit (Minimal Wear)
StatTrak™ USP-S | Torque (Field-Tested)
AK-47 | Redline (Battle-Scarred)
P90 | Module (Minimal Wear)
Five-SeveN | Retrobution (Minimal Wear)
Sawed-Off | Fubar (Battle-Scarred)
Desert Eagle | Night (Minimal Wear)
SSG 08 | Acid Fade (Factory New)
M4A1-S | Nitro (Field-Tested)
AWP | Sun in Leo (Field-Tested)

FAMAS | Djinn (Field-Tested)
FAMAS | Djinn (Battle-Scarred)
StatTrak™ Tec-9 | Avalanche (Well-Worn)
Desert Eagle | Midnight Storm (Well-Worn)
StatTrak™ SCAR-20 | Cardiac (Field-Tested)
M249 | Nebula Crusader (Well-Worn)
StatTrak™ SCAR-20 | Green Marine (Minimal Wear)
UMP-45 | Delusion (Minimal Wear)
P250 | Crimson Kimono (Minimal Wear)
StatTrak™ Desert Eagle | Conspiracy (Field-Tested)
Tec-9 | Ice Cap (Factory New)
USP-S | Guardian (Minimal Wear)
USP-S | Guardian (Field-Tested)
AK-47 | Redline (Battle-Scarred)
P250 | Valence (Minimal Wear)
P2000 | Oceanic (Factory New)
AK-47 | Elite Build (Minimal Wear)
Tec-9 | Ice Cap (Factory New)
M4A4 | Urban DDPAT (Minimal Wear)
Desert Eagle | Conspiracy (Factory New)
Nova | Sand Dune (Field-Tested)
AK-47 | Safari Mesh (Field-Tested)
Desert Eagle | Kumicho Dragon (Field-Tested)
AK-47 | Frontside Misty (Minimal Wear)
M4A1-S | Bright Water (Minimal Wear)
USP-S | Lead Conduit (Battle-Scarred)
AWP | Worm God (Minimal Wear)
Desert Eagle | Night (Battle-Scarred)
AWP | Safari Mesh (Field-Tested)
AWP | Safari Mesh (Field-Tested)
AWP | Safari Mesh (Field-Tested)
StatTrak™ USP-S | Guardian (Minimal Wear)
StatTrak™ P90 | Module (Factory New)
Souvenir Nova | Sand Dune (Minimal Wear)
StatTrak™ CZ75-Auto | Red Astor (Field-Tested)
AK-47 | Emerald Pinstripe (Minimal Wear)

Tec-9 | Jambiya (Field-Tested)
M4A4 | Griffin (Factory New)
AWP | Pit Viper (Minimal Wear)
R8 Revolver | Fade (Field-Tested)
AK-47 | Red Laminate (Field-Tested)
★ Karambit | Black Laminate (Field-Tested)
AWP | Sun in Leo (Field-Tested)
AWP | Phobos (Factory New)
StatTrak™ P90 | Virus (Minimal Wear)
AK-47 | Frontside Misty (Field-Tested)
AK-47 | Blue Laminate (Field-Tested)
P250 | Wingshot (Battle-Scarred)
AWP | Pit Viper (Field-Tested)
M4A1-S | VariCamo (Minimal Wear)
AK-47 | Redline (Field-Tested)
AWP | Pit Viper (Field-Tested)
Dual Berettas | Ventilators (Minimal Wear)
Glock-18 | Water Elemental (Field-Tested)
StatTrak™ USP-S | Torque (Minimal Wear)
Glock-18 | Bunsen Burner (Minimal Wear)
G3SG1 | The Executioner (Battle-Scarred)
Glock-18 | Catacombs (Factory New)
M4A1-S | Basilisk (Field-Tested)
AK-47 | Predator (Field-Tested)
AWP | Lightning Strike (Factory New)
Glock-18 | Wraiths (Field-Tested)
AK-47 | Elite Build (Factory New)
AWP | Phobos (Factory New)
StatTrak™ P2000 | Pulse (Factory New)
M4A1-S | Guardian (Minimal Wear)
Glock-18 | Wraiths (Field-Tested)
M4A1-S | Basilisk (Minimal Wear)
P2000 | Oceanic (Factory New)
StatTrak™ Five-SeveN | Kami (Field-Tested)
StatTrak™ Desert Eagle | Crimson Web (Battle-Scarred)
StatTrak™ AK-47 | Wasteland Rebel (Field-Tested)
MAC-10 | Lapis Gator (Field-Tested)
P90 | Module (Minimal Wear)
USP-S | Royal Blue (Field-Tested)
★ StatTrak™ Flip Knife | Bright Water (Field-Tested)
StatTrak™ P2000 | Pulse (Factory New)
M4A1-S | Master Piece (Field-Tested)
StatTrak™ MP7 | Armor Core (Factory New)
Galil AR | Cerberus (Field-Tested)
StatTrak™ MAC-10 | Malachite (Field-Tested)
StatTrak™ UMP-45 | Riot (Minimal Wear)
AWP | Asiimov (Field-Tested)
P250 | Valence (Field-Tested)
StatTrak™ AWP | Phobos (Minimal Wear)
AWP | Safari Mesh (Battle-Scarred)
M4A4 | Desolate Space (Field-Tested)
Desert Eagle | Urban Rubble (Field-Tested)
Desert Eagle | Night (Minimal Wear)
SCAR-20 | Cardiac (Minimal Wear)
AWP | Sun in Leo (Minimal Wear)
P250 | Muertos (Factory New)
Tec-9 | Bamboo Forest (Minimal Wear)
Five-SeveN | Violent Daimyo (Battle-Scarred)
AK-47 | Cartel (Field-Tested)
AWP | Graphite (Factory New)
AWP | Phobos (Minimal Wear)
Desert Eagle | Meteorite (Factory New)
AWP | Pit Viper (Field-Tested)
AK-47 | Elite Build (Field-Tested)
AK-47 | Redline (Field-Tested)
AWP | Phobos (Field-Tested)
Tec-9 | Ice Cap (Minimal Wear)
Glock-18 | Wraiths (Field-Tested)
AWP | Elite Build (Battle-Scarred)
P250 | Whiteout (Field-Tested)
MAC-10 | Lapis Gator (Factory New)
Glock-18 | Bunsen Burner (Battle-Scarred)
AWP | Worm God (Factory New)
AWP | Worm God (Factory New)
AK-47 | Elite Build (Field-Tested)
Desert Eagle | Night (Minimal Wear)
P90 | Module (Field-Tested)
StatTrak™ PP-Bizon | Harvester (Field-Tested)
StatTrak™ AK-47 | Elite Build (Field-Tested)
P90 | Storm (Field-Tested)
M4A4 | Tornado (Field-Tested)
M4A1-S | Nitro (Field-Tested)
M4A1-S | Nitro (Field-Tested)
USP-S | Royal Blue (Field-Tested)
M4A1-S | Nitro (Minimal Wear)
StatTrak™ Tec-9 | Ice Cap (Minimal Wear)
MAC-10 | Heat (Factory New)
P90 | Chopper (Field-Tested)
Tec-9 | Toxic (Minimal Wear)
SSG 08 | Acid Fade (Factory New)
StatTrak™ FAMAS | Valence (Field-Tested)
Desert Eagle | Conspiracy (Factory New)
AK-47 | Elite Build (Battle-Scarred)
Galil AR | Eco (Field-Tested)
StatTrak™ M4A1-S | Guardian (Field-Tested)
StatTrak™ AWP | Elite Build (Field-Tested)
Tec-9 | Jambiya (Field-Tested)
USP-S | Caiman (Minimal Wear)
UMP-45 | Primal Saber (Field-Tested)
P90 | Elite Build (Field-Tested)
★ Flip Knife | Bright Water (Well-Worn)
AK-47 | Redline (Field-Tested)
M4A1-S | VariCamo (Minimal Wear)
M4A1-S | VariCamo (Minimal Wear)
M4A1-S | Nitro (Minimal Wear)
AWP | Worm God (Field-Tested)
AK-47 | Emerald Pinstripe (Well-Worn)
AK-47 | Emerald Pinstripe (Well-Worn)
Desert Eagle | Naga (Minimal Wear)
Desert Eagle | Corinthian (Factory New)
StatTrak™ SSG 08 | Abyss (Factory New)

StatTrak™ Desert Eagle | Naga (Minimal Wear)
StatTrak™ USP-S | Guardian (Factory New)
P250 | Supernova (Field-Tested)
StatTrak™ P2000 | Ivory (Minimal Wear)
AWP | Electric Hive (Field-Tested)
P250 | Valence (Field-Tested)
P250 | Franklin (Minimal Wear)
Desert Eagle | Crimson Web (Field-Tested)
Desert Eagle | Meteorite (Factory New)
AK-47 | Blue Laminate (Field-Tested)
M4A1-S | Nitro (Minimal Wear)
